Date,High,Low,Mid,Last,Bid,Ask,Volume,First
2022-02-09,2.0611,1.8917,2.0134,2.0187,2.0127,2.0141,1460567.90137321,1.9503
2022-02-10,2.0444,1.8699,1.8816,1.882,1.8804,1.8828,1142757.93225118,2.0187
2022-02-11,1.9015,1.678,1.69285,1.6948,1.6928,1.6929,1356025.84967244,1.882
2022-02-12,1.7656,1.6443,1.68675,1.6868,1.6867,1.6868,621107.34924551,1.6948
2022-02-13,1.7233,1.6452,1.6698,1.6698,1.6694,1.6702,522656.7546124,1.6868
2022-02-14,1.678,1.5971,1.65745,1.6585,1.6572,1.6577,772936.0143408,1.6698
2022-02-15,1.8793,1.6572,1.85565,1.8557,1.8556,1.8557,571219.34363935,1.6585
2022-02-16,1.8785,1.7529,1.8423,1.8422,1.8418,1.8428,581537.70675015,1.8557
2022-02-17,1.8643,1.6477,1.64815,1.6477,1.6476,1.6487,621649.04663872,1.8422
2022-02-18,1.7135,1.5846,1.60435,1.6043,1.6037,1.605,1071134.39888218,1.6477
2022-02-19,1.6434,1.5614,1.62675,1.6269,1.6263,1.6272,550761.01040825,1.6043
2022-02-20,1.6174,1.495,1.52045,1.5211,1.5197,1.5212,576424.75492975,1.6269
2022-02-21,1.6163,1.4012,1.4177,1.4204,1.4172,1.4182,1125565.00228412,1.5211
2022-02-22,1.4756,1.35,1.4765,1.4742,1.476,1.477,838140.62846948,1.4204
2022-02-23,1.5953,1.435,1.44965,1.451,1.4495,1.4498,1145152.11169144,1.4742
2022-02-24,1.5146,1.2486,1.44905,1.4508,1.4486,1.4495,1650997.4624612,1.451
2022-02-25,1.5743,1.407,1.54555,1.5432,1.5447,1.5464,355775.95941561,1.4508
2022-02-26,1.5942,1.5055,1.5179,1.5186,1.5175,1.5183,146435.1953541,1.5432
2022-02-27,1.5486,1.425,1.45325,1.4562,1.4526,1.4539,406599.10164921,1.5186
2022-02-28,1.6417,1.425,1.62795,1.6279,1.6279,1.628,560231.73372736,1.4562
2022-03-01,1.6644,1.5584,1.615,1.6157,1.6144,1.6156,477149.33339201,1.6279
2022-03-02,1.6984,1.5836,1.63515,1.6328,1.6346,1.6357,719672.09432971,1.6157
2022-03-03,1.6511,1.5461,1.56555,1.5644,1.5649,1.5662,541386.2140342,1.6328
2022-03-04,1.5721,1.455,1.46045,1.4629,1.46,1.4609,527778.38913501,1.5644
2022-03-05,1.5161,1.4467,1.5128,1.5126,1.512,1.5136,201622.31950089,1.4629
2022-03-06,1.5188,1.4233,1.42545,1.4235,1.4248,1.4261,214481.25541309,1.5126
2022-03-07,1.496,1.3724,1.42865,1.4227,1.428,1.4293,564425.11324543,1.4235
2022-03-08,1.4759,1.4166,1.4532,1.4487,1.4524,1.454,224432.14351061,1.4227
2022-03-09,1.5452,1.4486,1.50855,1.5026,1.5083,1.5088,377954.49096404,1.4487
2022-03-10,1.5108,1.4061,1.4355,1.4342,1.4349,1.4361,464710.78684458,1.5026
2022-03-11,1.4725,1.4021,1.40725,1.4069,1.4062,1.4083,148277.66013937,1.4342
2022-03-12,1.4339,1.3932,1.40085,1.3996,1.4006,1.4011,375978.61155819,1.4069
2022-03-13,1.419,1.3464,1.35925,1.3565,1.359,1.3595,98476.17705946,1.3996
2022-03-14,1.3925,1.3315,1.37375,1.3752,1.3733,1.3742,270315.76053822,1.3565
2022-03-15,1.41,1.3329,1.38445,1.3831,1.3838,1.3851,130223.45573767,1.3752
2022-03-16,1.4581,1.357,1.45575,1.4555,1.4557,1.4558,313529.76759108,1.3831
2022-03-17,1.499,1.4395,1.4525,1.4511,1.4519,1.4531,116955.30709205,1.4555
2022-03-18,1.5105,1.4193,1.4969,1.497,1.4963,1.4975,181017.64503235,1.4511
